# INITIALISATION DU GRAPHE
# FORMAT DE CHAQUE LIGNE: (DEPART, ARRIVEE, LONGUEUR)

# ORANGE
MONTMORENCY DE-LA-CONCORDE 848
DE-LA-CONCORDE CARTIER 2074
CARTIER HENRI-BOURASSA 1102
HENRI-BOURASSA SAUVÉ 772
SAUVÉ CRÉMAZIE 1280
CRÉMAZIE JARRY 826
JARRY JEAN-TALON 977
JEAN-TALON BEAUBIEN 712
BEAUBIEN ROSEMONT 514
ROSEMONT LAURIER 746
LAURIER MONT-ROYAL 500
MONT-ROYAL SHERBROOKE 932
SHERBROOKE BERRI-UQAM 579
BERRI-UQAM CHAMP-DE-MARS 721
CHAMP-DE-MARS PLACE-D'ARMES 371
PLACE-D'ARMES SQUARE-VICTORIA-OACI 357
SQUARE-VICTORIA-OACI BONAVENTURE 393
BONAVENTURE LUCIEN-L'ALLIER 382
LUCIEN-L'ALLIER GEORGES-VANIER 531
GEORGES-VANIER LIONEL-GROULX 759
LIONEL-GROULX PLACE-SAINT-HENRI 580
PLACE-SAINT-HENRI VENDÔME 1451
VENDÔME VILLA-MARIA 1407
VILLA-MARIA SNOWDON 884
SNOWDON CÔTE-SAINTE-CATHERINE 693
CÔTE-SAINTE-CATHERINE PLAMONDON 451
PLAMONDON NAMUR 988
NAMUR DE-LA-SAVANE 787
DE-LA-SAVANE DU-COLLÈGE 1282
DU-COLLÈGE CÔTE-VERTU 777


# BLEU
SAINT-MICHEL D'IBERVILLE 608
D'IBERVILLE FABRE 645
FABRE JEAN-TALON 840
JEAN-TALON DE-CASTELNAU 472
DE-CASTELNAU PARC 491
PARC ACADIE 728
ACADIE OUTREMONT 729
OUTREMONT ÉDOUARD-MONTPETIT 1091
ÉDOUARD-MONTPETIT UNIVERSITÉ-DE-MONTRÉAL 668
UNIVERSITÉ-DE-MONTRÉAL CÔTE-DES-NEIGES 765
CÔTE-DES-NEIGES SNOWDON 960


# VERT
HONORÉ-BEAUGRAND RADISSON 717
RADISSON LANGELIER 622
LANGELIER CADILLAC 519
CADILLAC ASSOMPTION 782
ASSOMPTION VIAU 896
VIAU PIE-IX 622
PIE-IX JOLIETTE 767
JOLIETTE PRÉFONTAINE 383
PRÉFONTAINE FRONTENAC 1004
FRONTENAC PAPINEAU 1158
PAPINEAU BEAUDRY 495
BEAUDRY BERRI-UQAM 379
BERRI-UQAM SAINT-LAURENT 337
SAINT-LAURENT PLACE-DES-ARTS 354
PLACE-DES-ARTS MCGILL 346
MCGILL PEEL 297
PEEL GUY-CONCORDIA 593
GUY-CONCORDIA ATWATER 682
ATWATER LIONEL-GROULX 1388
LIONEL-GROULX CHARLEVOIX 1077
CHARLEVOIX LASALLE 707
LASALLE DE-L'ÉGLISE 812
DE-L'ÉGLISE VERDUN 564
VERDUN JOLICOEUR 761
JOLICOEUR MONK 1063
MONK ANGRIGNON 844


# JAUNE
BERRI-UQAM JEAN-DRAPEAU 2362
JEAN-DRAPEAU LONGUEUIL 1572
